ARX,ARY,CAX,CAY,PoX,PoY,CaX,CaY,CoX,CoY
-0.558035714285715,0.542337662337662,-1.11607142857143,0.292987012987013,0.558035714285715,0.546493506493507,0.558035714285715,0.548571428571429,6.69642857142857,0.588051948051948
-0.558035714285715,0.623376623376623,1.11607142857143,0.222337662337662,5.58035714285714,0.544415584415584,2.79017857142857,0.602597402597403,11.71875,0.625454545454546
0.558035714285715,0.671168831168831,1.67410714285715,0.141298701298701,11.1607142857143,0.544415584415584,4.46428571428571,0.633766233766234,16.7410714285714,0.671168831168831
2.23214285714286,0.731428571428572,3.90625,0.097662337662338,16.7410714285714,0.546493506493507,5.58035714285714,0.669090909090909,20.0892857142857,0.714805194805195
2.79017857142857,0.764675324675325,6.13839285714286,0.047792207792208,23.9955357142857,0.546493506493507,6.69642857142857,0.708571428571429,26.2276785714286,0.748051948051948
5.02232142857143,0.797922077922078,8.37053571428571,0.029090909090909,31.25,0.544415584415584,10.0446428571428,0.752207792207792,30.6919642857143,0.78961038961039
6.69642857142857,0.824935064935065,12.2767857142857,0.012467532467533,36.8303571428571,0.544415584415584,12.8348214285714,0.793766233766234,36.2723214285714,0.833246753246753
8.37053571428571,0.837402597402597,17.8571428571429,0.006233766233766,42.4107142857143,0.544415584415584,15.625,0.833246753246753,41.8526785714286,0.876883116883117
10.6026785714286,0.847792207792208,22.8794642857143,0.006233766233766,48.5491071428571,0.544415584415584,18.4151785714286,0.874805194805195,46.3169642857143,0.916363636363636
13.3928571428571,0.84987012987013,30.6919642857143,0.006233766233766,51.3392857142857,0.52987012987013,19.53125,0.916363636363636,49.6651785714286,0.941298701298701
18.4151785714286,0.854025974025974,38.5044642857143,0.006233766233766,53.5714285714286,0.515324675324675,22.3214285714286,0.955844155844156,54.1294642857143,0.957922077922078
23.4375,0.854025974025974,45.2008928571429,0.008311688311688,60.2678571428572,0.502857142857143,25.6696428571428,0.997402597402597,64.7321428571429,0.951688311688312
29.5758928571429,0.854025974025974,51.3392857142857,0.01038961038961,68.0803571428571,0.494545454545455,28.4598214285714,1.04103896103896,76.4508928571429,0.924675324675325
35.15625,0.854025974025974,55.8035714285714,0.029090909090909,75.8928571428572,0.494545454545455,29.5758928571429,1.08467532467532,86.4955357142857,0.889350649350649
40.7366071428572,0.856103896103896,58.59375,0.045714285714286,83.1473214285714,0.496623376623376,31.8080357142857,1.12623376623377,97.65625,0.870649350649351
45.2008928571429,0.854025974025974,59.7098214285714,0.062337662337663,92.0758928571429,0.498701298701299,35.15625,1.16363636363636,109.375,0.864415584415584
47.4330357142857,0.841558441558441,61.3839285714286,0.078961038961039,98.7723214285714,0.498701298701299,37.9464285714286,1.20727272727273,119.977678571429,0.858181818181818
48.5491071428571,0.831168831168831,62.5,0.095584415584416,104.910714285714,0.498701298701299,40.7366071428572,1.24883116883117,131.696428571429,0.858181818181818
50.2232142857143,0.812467532467533,63.0580357142857,0.118441558441558,108.816964285714,0.504935064935065,41.8526785714286,1.28831168831169,143.415178571429,0.854025974025974
52.4553571428572,0.787532467532468,64.7321428571429,0.137142857142857,118.861607142857,0.507012987012987,44.6428571428571,1.33194805194805,153.459821428571,0.851948051948052
54.6875,0.772987012987013,65.2901785714286,0.166233766233766,129.464285714286,0.504935064935065,47.9910714285714,1.36935064935065,164.620535714286,0.84987012987013
55.2455357142857,0.756363636363636,65.8482142857143,0.184935064935065,139.508928571429,0.504935064935065,49.1071428571429,1.40051948051948,175.78125,0.847792207792208
56.3616071428571,0.73974025974026,65.8482142857143,0.203636363636364,150.669642857143,0.504935064935065,50.78125,1.41714285714286,187.5,0.847792207792208
58.59375,0.716883116883117,67.5223214285714,0.226493506493506,162.388392857143,0.504935064935065,56.3616071428571,1.44623376623377,198.660714285714,0.845714285714286
60.2678571428572,0.696103896103896,68.6383928571429,0.27012987012987,172.433035714286,0.504935064935065,59.7098214285714,1.44831168831169,210.379464285714,0.847792207792208
60.8258928571429,0.677402597402597,68.0803571428571,0.30961038961039,184.709821428571,0.504935064935065,68.6383928571429,1.41714285714286,220.424107142857,0.845714285714286
61.9419642857143,0.650389610389611,70.8705357142857,0.340779220779221,194.754464285714,0.504935064935065,75.3348214285714,1.37974025974026,232.142857142857,0.847792207792208
63.0580357142857,0.621298701298701,70.8705357142857,0.378181818181818,207.03125,0.504935064935065,80.9151785714286,1.3361038961039,242.1875,0.841558441558441
64.7321428571429,0.588051948051948,70.8705357142857,0.411428571428572,215.959821428571,0.504935064935065,89.84375,1.29246753246753,248.325892857143,0.841558441558441
66.40625,0.552727272727273,72.5446428571429,0.455064935064935,229.352678571429,0.502857142857143,101.004464285714,1.2612987012987,254.464285714286,0.841558441558441
67.5223214285714,0.511168831168831,74.7767857142857,0.509090909090909,239.397321428571,0.504935064935065,112.165178571429,1.24675324675325,265.066964285714,0.841558441558441
68.0803571428571,0.455064935064935,75.8928571428572,0.548571428571429,251.674107142857,0.504935064935065,123.325892857143,1.23428571428571,276.227678571429,0.843636363636364
68.6383928571429,0.413506493506494,77.0089285714286,0.59012987012987,261.160714285714,0.504935064935065,134.486607142857,1.23012987012987,288.504464285714,0.841558441558441
70.3125,0.365714285714286,78.125,0.619220779220779,274.553571428571,0.504935064935065,146.205357142857,1.2238961038961,299.107142857143,0.843636363636364
72.5446428571429,0.30961038961039,79.7991071428571,0.648311688311688,284.040178571429,0.504935064935065,156.808035714286,1.21974025974026,309.709821428571,0.843636363636364
73.6607142857143,0.261818181818182,81.4732142857143,0.691948051948052,296.875,0.504935064935065,167.96875,1.21974025974026,321.428571428571,0.843636363636364
74.21875,0.211948051948052,83.1473214285714,0.704415584415585,305.803571428571,0.504935064935065,179.129464285714,1.21350649350649,332.03125,0.841558441558441
76.4508928571429,0.170389610389611,83.7053571428571,0.716883116883117,318.638392857143,0.504935064935065,189.732142857143,1.21350649350649,343.191964285714,0.843636363636364
77.5669642857143,0.130909090909091,85.3794642857143,0.723116883116883,327.566964285714,0.504935064935065,201.450892857143,1.20727272727273,352.678571428571,0.841558441558441
78.6830357142857,0.103896103896104,87.0535714285714,0.731428571428572,340.401785714286,0.504935064935065,212.611607142857,1.20727272727273,364.955357142857,0.843636363636364
79.7991071428571,0.072727272727273,88.7276785714286,0.73974025974026,351.5625,0.504935064935065,223.772321428571,1.20727272727273,376.674107142857,0.843636363636364
81.4732142857143,0.037402597402598,92.0758928571429,0.741818181818182,362.723214285714,0.504935064935065,234.375,1.20727272727273,387.834821428571,0.843636363636364
83.1473214285714,0.029090909090909,96.5401785714286,0.75012987012987,372.767857142857,0.504935064935065,246.09375,1.20103896103896,398.4375,0.841558441558441
83.7053571428571,0.012467532467533,103.236607142857,0.754285714285714,385.044642857143,0.504935064935065,254.464285714286,1.20311688311688,409.598214285714,0.843636363636364
86.4955357142857,0.004155844155844,110.491071428571,0.76051948051948,394.53125,0.504935064935065,258.928571428571,1.20311688311688,421.316964285714,0.843636363636364
89.84375,0.002077922077922,118.303571428571,0.758441558441558,407.366071428571,0.502857142857143,267.857142857143,1.20311688311688,431.919642857143,0.843636363636364
108.258928571429,0.002077922077922,126.116071428571,0.76051948051948,417.410714285714,0.504935064935065,279.575892857143,1.20311688311688,442.522321428572,0.841558441558441
134.486607142857,0.004155844155844,137.276785714286,0.764675324675325,429.6875,0.504935064935065,290.736607142857,1.20311688311688,449.776785714286,0.841558441558441
148.995535714286,0.004155844155844,148.4375,0.766753246753247,439.174107142857,0.502857142857143,301.339285714286,1.20311688311688,455.357142857143,0.843636363636364
169.084821428571,0.004155844155844,166.294642857143,0.764675324675325,452.008928571429,0.504935064935065,312.5,1.20311688311688,465.401785714286,0.841558441558441
192.522321428571,0.002077922077922,188.058035714286,0.766753246753247,461.495535714286,0.504935064935065,323.660714285714,1.20311688311688,476.5625,0.841558441558441
250,0,217.075892857143,0.764675324675325,474.330357142857,0.504935064935065,334.821428571429,1.20311688311688,488.28125,0.841558441558441
291.294642857143,0.002077922077922,231.026785714286,0.766753246753247,483.816964285714,0.504935064935065,344.866071428571,1.20103896103896,498.883928571429,0.841558441558441
320.870535714286,0.002077922077922,248.883928571429,0.764675324675325,497.767857142857,0.504935064935065,354.352678571429,1.20311688311688,,
348.772321428571,0.002077922077922,265.625,0.764675324675325,,,359.375,1.20103896103896,,
377.790178571429,0.002077922077922,287.946428571429,0.766753246753247,,,368.303571428571,1.19688311688312,,
412.946428571429,0,305.803571428571,0.768831168831169,,,379.464285714286,1.19688311688312,,
449.776785714286,0,330.915178571429,0.764675324675325,,,390.625,1.19896103896104,,
478.794642857143,0,355.46875,0.764675324675325,,,401.785714285714,1.19896103896104,,
497.767857142857,0.002077922077922,384.486607142857,0.764675324675325,,,412.946428571429,1.19896103896104,,
500.558035714286,0.004155844155844,412.946428571429,0.766753246753247,,,423.549107142857,1.19480519480519,,
,,443.080357142857,0.764675324675325,,,435.267857142857,1.19688311688312,,
,,464.84375,0.766753246753247,,,445.870535714286,1.19896103896104,,
,,488.28125,0.766753246753247,,,452.566964285714,1.19896103896104,,
,,500,0.766753246753247,,,458.705357142857,1.19896103896104,,
,,,,,,468.75,1.19896103896104,,
,,,,,,479.910714285714,1.20103896103896,,
,,,,,,490.513392857143,1.20103896103896,,
,,,,,,498.883928571429,1.19896103896104,,
